name;genre
Weightless;"neon pop punk"
Weightless;"pop emo"
Weightless;"pop punk"
"Welcome to My Life";"canadian pop punk"
"Welcome to My Life";"canadian punk"
"Welcome to My Life";"canadian rock"
"Welcome to My Life";"modern rock"
"Welcome to My Life";"neon pop punk"
"Welcome to My Life";"pop punk"
"Welcome to My Life";"pop rock"
"When I Get Home You're So Dead";"neon pop punk"
"When I Get Home You're So Dead";"pop emo"
"When I Get Home You're So Dead";"pop punk"
"When I Was Your Man";"dance pop"
"When I Was Your Man";pop
"When You're Gone";"canadian pop"
"When You're Gone";"candy pop"
"When You're Gone";"dance pop"
"When You're Gone";pop
"Who I Am Hates Who I've Been";"canadian ccm"
"Who I Am Hates Who I've Been";"christian alternative rock"
"Who I Am Hates Who I've Been";"christian punk"
"Who I Am Hates Who I've Been";"pop punk"
"Whoa Oh! (Me vs Everyone)";electropowerpop
"Whoa Oh! (Me vs Everyone)";"neon pop punk"
"Whoa Oh! (Me vs Everyone)";"pop punk"
"Whoa Oh! (Me vs Everyone)";"texas pop punk"
"With Me";"alternative metal"
"With Me";"canadian pop punk"
"With Me";"canadian punk"
"With Me";"modern rock"
"With Me";"pop punk"
"With Me";post-grunge
"With Me";punk
"With Me";rock
Woof;"bedroom pop"
Woof;"oakland indie"
Woof;"pov: indie"
"Would You";"boy band"
"Would You";pop
"WRONG (feat. Lil Mosey)";"australian hip hop"
"Yoru ni Kakeru";"anime lo-fi"
"Yoru ni Kakeru";"city pop"
"You, Dear";"bedroom soul"
"You'll Never Know";classify
"Your Guardian Angel";"alternative metal"
"Your Guardian Angel";"neon pop punk"
"Your Guardian Angel";"pop punk"
"Your Guardian Angel";post-grunge
"Your Guardian Angel";screamo
